customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,SupportTickets,Churn
CUST-10000,Male,0,Yes,Yes,31,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,89.5,2788.28,1,Yes
CUST-10001,Female,0,Yes,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),23.53,484.76,1,No
CUST-10002,Male,1,No,No,29,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Electronic check,95.03,2754.56,1,No
CUST-10003,Male,0,Yes,Yes,51,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,86.74,4458.43,0,No
CUST-10004,Male,1,No,No,9,Yes,Yes,DSL,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,73.31,671.71,4,No
CUST-10005,Female,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,36.01,420.89,1,No
CUST-10006,Male,1,Yes,No,38,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),107.89,4107.06,1,Yes
CUST-10007,Male,0,No,No,24,Yes,No,DSL,No,No,No,No,No,No,One year,No,Credit card (automatic),57.53,1401.4,0,Yes
CUST-10008,Male,1,No,Yes,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,30.79,492.64,0,No
CUST-10009,Female,0,Yes,No,53,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,102.9,5444.24,1,No
CUST-10010,Male,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,69.84,1879.94,1,Yes
